,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
191,"Lean Wit Me","Juice WRLD",251062,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
192,"How I Move (feat. Lil Baby)","Flipp Dinero",250800,https://open.spotify.com/track/14X1WxiHXdVRJ99cMCBzOE
193,"Cash Shit (feat. DaBaby)","Megan Thee Stallion",248798,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
194,Glimmer,"Tame Impala",248130,https://open.spotify.com/track/1unBUyjeQUDiJ8N89XiDrr
195,"Ransom (with Juice WRLD) - Remix","Lil Tecca",247705,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
196,"Yes Indeed","Lil Baby",246989,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
197,"Hot (feat. Gunna)","Young Thug",246925,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
198,"Lights Up","Harry Styles",246508,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
199,"Into the Unknown","Idina Menzel",246281,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
200,"No Shame","5 Seconds of Summer",245336,https://open.spotify.com/track/5JSVa5i6lFPoyOzK4gj0Ox
